구분,교통량,내부순환로,강변북로,북부간선도로,올림픽대로,동부간선도로,분당수서로,경부고속도로,강남순환로
2025년 평균,교통량,138922,218906,108045,240096,133308,129223,187630,157253
2025년 평균,(대/일),-1.2%,-1.9%,-1.3%,-1.3%,-1.6%,-3.3%,-0.6%,0.9%
2025년 평균,속도,53.4,43.6,42.2,46.7,55.7,49.9,36.2,80.7
2025년 평균,(km/h),0.9%,0.0%,-4.1%,0.2%,7.3%,12.6%,6.5%,-1.3%
2024년 평균,교통량,140609,223041,109437,243318,135420,133690,188810,155875
2024년 평균,(대/일),,,,,,,,
2024년 평균,속도,52.9,43.6,44,46.6,51.9,44.3,34,81.8
2024년 평균,(km/h),,,,,,,,
2023년 평균,교통량,139069,227935,108657,245734,134996,133300,190965,160914
2023년 평균,(대/일),,,,,,,,
2023년 평균,속도,52.2,43.8,45.2,46.8,51.6,44.6,33.3,79.6
2023년 평균,(km/h),,,,,,,,
